Age,Proxy,Climate_proxy,Record,Transition_start,Transition_end,Period,tsid
99063,-461.4,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
98994,-459.2,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
98925,-460.4,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
98855,-463.8,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
98783,-462.8,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
98712,-465.0,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
98640,-461.2,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
98572,-457.5,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
98505,-457.5,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
98439,-457.5,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
98371,-460.1,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
98300,-465.6,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
98228,-463.6,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
98157,-462.8,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
98085,-465.8,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
98010,-468.9,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
97936,-465.5,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
97864,-462.0,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
97794,-461.2,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
97727,-456.7,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
97659,-461.3,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
97588,-465.9,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
97514,-466.5,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
97439,-469.4,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
97365,-464.0,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
97294,-462.7,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
97222,-466.0,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
97148,-468.1,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
97075,-463.1,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
97004,-463.7,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
96933,-463.7,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
96861,-463.7,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
96791,-461.8,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
96722,-459.9,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
96652,-462.7,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
96582,-462.3,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
96511,-462.7,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
96441,-462.0,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
96372,-459.8,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
96304,-459.4,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
96237,-457.6,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
96170,-457.6,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
96103,-460.3,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
96033,-462.4,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
95964,-460.6,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
95895,-458.8,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
95828,-458.8,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
95761,-458.8,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
95693,-459.7,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
95624,-460.6,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
95556,-460.6,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
95487,-460.6,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
95418,-459.9,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
95351,-456.9,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
95284,-458.4,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
95214,-466.0,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
95141,-465.2,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
95070,-462.9,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
95000,-460.3,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
94932,-459.3,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
94864,-459.7,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
94795,-460.8,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
94725,-463.2,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
94655,-462.6,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
94585,-461.4,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
94517,-457.5,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
94450,-458.4,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
94382,-461.2,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
94311,-465.5,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
