Age,state,smoothing,residuals,variance,ac1,standard_deviation,Record,Period,tsid
636,35,20,15,59.85988700564971,0.06999984556642688,7.736917151272186,construction_activity_BMIII,BMIII,0
637,21,20,1,59.85988700564971,0.07102524813250448,7.736917151272186,construction_activity_BMIII,BMIII,0
638,11,20,-9,59.512711864406775,0.06186659705413021,7.7144482540494606,construction_activity_BMIII,BMIII,0
639,3,20,-17,64.66101694915254,0.10282682577632471,8.041207431048681,construction_activity_BMIII,BMIII,0
640,8,20,-12,66.94802259887005,0.16245550922113483,8.182177130743996,construction_activity_BMIII,BMIII,0
641,17,20,-3,66.36610169491524,0.15801088477328304,8.146539246509235,construction_activity_BMIII,BMIII,0
642,19,20,-1,65.3364406779661,0.16423572611828705,8.083095983468592,construction_activity_BMIII,BMIII,0
643,20,20,0,65.2641242937853,0.1654438835268273,8.078621435231712,construction_activity_BMIII,BMIII,0
644,27,21,6,65.79067796610168,0.16338840871371754,8.111145293119936,construction_activity_BMIII,BMIII,0
645,12,21,-9,67.03135593220337,0.14905485160000914,8.187267916234534,construction_activity_BMIII,BMIII,0
646,18,21,-3,67.1141242937853,0.1604187682721341,8.192321056561767,construction_activity_BMIII,BMIII,0
647,18,21,-3,65.82598870056495,0.1893975914779842,8.113321681072737,construction_activity_BMIII,BMIII,0
648,71,21,50,106.02937853107342,0.1134877883075038,10.297056789737221,construction_activity_BMIII,BMIII,0
649,32,21,11,107.5242937853107,0.16538955747726355,10.369392160840997,construction_activity_BMIII,BMIII,0
650,19,21,-2,107.40649717514121,0.15421124478108883,10.36371058912498,construction_activity_BMIII,BMIII,0
651,13,22,-9,107.40649717514121,0.15734343921314925,10.36371058912498,construction_activity_BMIII,BMIII,0
652,31,22,9,108.45649717514121,0.14292425519859642,10.414244916226101,construction_activity_BMIII,BMIII,0
653,22,22,0,108.46440677966099,0.1406178818444139,10.414624658606808,construction_activity_BMIII,BMIII,0
654,14,22,-8,109.77259887005647,0.13940390681289372,10.477241949580838,construction_activity_BMIII,BMIII,0
655,25,22,3,108.104802259887,0.14269065274591963,10.397345923834937,construction_activity_BMIII,BMIII,0
656,27,22,5,108.14548022598869,0.14472011688908215,10.399301910512488,construction_activity_BMIII,BMIII,0
657,27,22,5,108.40564971751411,0.14633976941759524,10.411803384501367,construction_activity_BMIII,BMIII,0
658,19,22,-3,107.79971751412428,0.15362676201334524,10.382664278215119,construction_activity_BMIII,BMIII,0
659,14,23,-9,108.39406779661016,0.16051900556978965,10.411247177769345,construction_activity_BMIII,BMIII,0
660,13,23,-10,110.28559322033895,0.17684529223256737,10.50169477847928,construction_activity_BMIII,BMIII,0
661,9,23,-14,112.62457627118641,0.1903685452195219,10.612472674696807,construction_activity_BMIII,BMIII,0
662,10,23,-13,115.169209039548,0.20920117954371784,10.731691806958864,construction_activity_BMIII,BMIII,0
663,22,23,-1,114.28107344632765,0.20360376594904647,10.690232618906272,construction_activity_BMIII,BMIII,0
664,17,23,-6,114.28107344632765,0.20454643839592682,10.690232618906272,construction_activity_BMIII,BMIII,0
665,44,24,20,120.66525423728811,0.18032814892227236,10.984773745384476,construction_activity_BMIII,BMIII,0
666,19,24,-5,121.21440677966098,0.15958053829870905,11.009741449264872,construction_activity_BMIII,BMIII,0
667,48,24,24,130.30395480225985,0.13580125619442954,11.415075768572885,construction_activity_BMIII,BMIII,0
668,24,24,0,129.70480225988697,0.1325941361763182,11.388801616495345,construction_activity_BMIII,BMIII,0
669,34,24,10,130.6381355932203,0.14896755077015716,11.429704090361234,construction_activity_BMIII,BMIII,0
670,20,24,-4,123.52853107344629,0.17923553951569718,11.114338984997996,construction_activity_BMIII,BMIII,0
671,16,25,-9,123.18192090395476,0.18607909287157337,11.098735103783438,construction_activity_BMIII,BMIII,0
672,25,25,0,123.18954802259884,0.18591431953205353,11.099078701522881,construction_activity_BMIII,BMIII,0
673,22,25,-3,123.37259887005646,0.18511288731631198,11.107321858578532,construction_activity_BMIII,BMIII,0
674,32,25,7,123.24406779661015,0.18197708049702033,11.101534479368613,construction_activity_BMIII,BMIII,0
675,19,25,-6,124.03700564971749,0.1758109330275144,11.13719020443296,construction_activity_BMIII,BMIII,0
676,41,26,15,126.55819209039545,0.1697237467675447,11.24980853572164,construction_activity_BMIII,BMIII,0
677,25,26,-1,125.26864406779659,0.15445369547559504,11.192347567324587,construction_activity_BMIII,BMIII,0
678,21,26,-5,124.41694915254234,0.13578174447154043,11.154234583894242,construction_activity_BMIII,BMIII,0
679,20,26,-6,118.67344632768359,0.16199792572538746,10.89373426918812,construction_activity_BMIII,BMIII,0
680,25,26,-1,118.0279661016949,0.16671505229143194,10.864067659108853,construction_activity_BMIII,BMIII,0
681,13,26,-13,120.74124293785309,0.1627261297270377,10.988232020568782,construction_activity_BMIII,BMIII,0
682,29,26,3,118.45056497175139,0.12384678666674583,10.883499665629222,construction_activity_BMIII,BMIII,0
683,40,26,14,114.26440677966099,0.10989066853386344,10.689453062699746,construction_activity_BMIII,BMIII,0
684,41,26,15,117.28361581920902,0.13457192660508455,10.829756036920177,construction_activity_BMIII,BMIII,0
705,3,5,-2,,,,construction_activity_PI,PI,1
706,1,5,-4,,,,construction_activity_PI,PI,1
707,7,5,2,,,,construction_activity_PI,PI,1
708,4,5,-1,,,,construction_activity_PI,PI,1
709,6,5,1,,,,construction_activity_PI,PI,1
711,4,6,-2,,,,construction_activity_PI,PI,1
712,4,6,-2,,,,construction_activity_PI,PI,1
713,4,6,-2,,,,construction_activity_PI,PI,1
714,7,6,1,,,,construction_activity_PI,PI,1
715,15,6,9,,,,construction_activity_PI,PI,1
716,3,6,-3,,,,construction_activity_PI,PI,1
718,3,6,-3,,,,construction_activity_PI,PI,1
719,8,7,1,,,,construction_activity_PI,PI,1
720,7,7,0,,,,construction_activity_PI,PI,1
721,3,7,-4,,,,construction_activity_PI,PI,1
722,8,7,1,,,,construction_activity_PI,PI,1
723,2,7,-5,,,,construction_activity_PI,PI,1
724,2,8,-6,,,,construction_activity_PI,PI,1
725,14,8,6,,,,construction_activity_PI,PI,1
726,7,8,-1,,,,construction_activity_PI,PI,1
727,7,8,-1,,,,construction_activity_PI,PI,1
728,14,8,6,,,,construction_activity_PI,PI,1
729,38,8,30,,,,construction_activity_PI,PI,1
730,13,8,5,,,,construction_activity_PI,PI,1
731,6,9,-3,,,,construction_activity_PI,PI,1
732,8,9,-1,,,,construction_activity_PI,PI,1
733,9,9,0,,,,construction_activity_PI,PI,1
734,9,9,0,,,,construction_activity_PI,PI,1
735,5,9,-4,,,,construction_activity_PI,PI,1
736,12,9,3,,,,construction_activity_PI,PI,1
737,8,9,-1,,,,construction_activity_PI,PI,1
738,4,9,-5,,,,construction_activity_PI,PI,1
739,7,10,-3,,,,construction_activity_PI,PI,1
740,9,10,-1,,,,construction_activity_PI,PI,1
741,3,10,-7,,,,construction_activity_PI,PI,1
742,2,10,-8,,,,construction_activity_PI,PI,1
743,19,11,8,,,,construction_activity_PI,PI,1
744,5,11,-6,,,,construction_activity_PI,PI,1
745,12,11,1,,,,construction_activity_PI,PI,1
746,7,11,-4,,,,construction_activity_PI,PI,1
747,16,12,4,,,,construction_activity_PI,PI,1
748,10,12,-2,,,,construction_activity_PI,PI,1
749,15,13,2,,,,construction_activity_PI,PI,1
750,10,13,-3,,,,construction_activity_PI,PI,1
751,7,13,-6,,,,construction_activity_PI,PI,1
752,10,14,-4,,,,construction_activity_PI,PI,1
753,14,14,0,,,,construction_activity_PI,PI,1
754,13,15,-2,,,,construction_activity_PI,PI,1
755,12,15,-3,,,,construction_activity_PI,PI,1
756,10,16,-6,,,,construction_activity_PI,PI,1
757,8,16,-8,,,,construction_activity_PI,PI,1
758,15,17,-2,,,,construction_activity_PI,PI,1
759,44,17,27,,,,construction_activity_PI,PI,1
760,27,18,9,,,,construction_activity_PI,PI,1
761,19,18,1,,,,construction_activity_PI,PI,1
762,14,18,-4,,,,construction_activity_PI,PI,1
763,36,19,17,,,,construction_activity_PI,PI,1
764,11,19,-8,,,,construction_activity_PI,PI,1
765,25,20,5,,,,construction_activity_PI,PI,1
766,28,20,8,50.531073446327696,0.10565365325342815,7.108521185614325,construction_activity_PI,PI,1
767,21,20,1,50.44378531073447,0.10313926909702445,7.102378848719242,construction_activity_PI,PI,1
768,23,21,2,50.15225988700566,0.1060811043212071,7.0818260277279945,construction_activity_PI,PI,1
769,23,21,2,50.15225988700566,0.107644243187118,7.0818260277279945,construction_activity_PI,PI,1
770,25,21,4,50.317514124293794,0.1094363595875272,7.093483920070151,construction_activity_PI,PI,1
771,15,21,-6,51.031355932203404,0.10137974780172941,7.143623445577419,construction_activity_PI,PI,1
772,19,21,-2,51.031355932203404,0.10408393501805054,7.143623445577419,construction_activity_PI,PI,1
773,19,21,-2,51.031355932203404,0.10408393501805052,7.143623445577419,construction_activity_PI,PI,1
774,18,22,-4,51.26412429378532,0.10788057840938806,7.159896947148424,construction_activity_PI,PI,1
775,40,22,18,56.41694915254238,0.0772731644502375,7.511121697359348,construction_activity_PI,PI,1
776,31,22,9,56.41694915254238,0.12774433147676137,7.511121697359348,construction_activity_PI,PI,1
777,11,22,-11,58.48700564971752,0.09147194756071411,7.647679755959811,construction_activity_PI,PI,1
778,21,22,-1,58.31186440677967,0.09568166515016542,7.63622055776152,construction_activity_PI,PI,1
779,8,22,-14,61.8584745762712,0.09949446640555933,7.865015866244085,construction_activity_PI,PI,1
780,63,22,41,89.38870056497177,-0.05312329495094291,9.454559776370964,construction_activity_PI,PI,1
781,23,22,1,88.95225988700567,-0.045316849781360434,9.431450571731036,construction_activity_PI,PI,1
