Age,SD_probability_mean,SD_probability_error
-14.059494,0.999999963087434,5.015543905663967e-11
-14.035443,0.9999998393760108,2.0740598552545815e-10
-14.011392,0.99999875601167,1.490199009778293e-09
-13.987342,0.999998109880052,2.228388757723867e-09
-13.963291,0.9999998568054456,1.8565357061800055e-10
-13.939241,0.9999999566869332,5.853356716383403e-11
-13.91519,0.9999999874033904,1.7739958484240048e-11
-13.891139,0.9999999895892998,1.4753113306717603e-11
-13.867089,0.999999964147779,4.8762769017009945e-11
-13.843038,0.99999999123044,1.2496917795838532e-11
-13.818987,0.9999999913587304,1.2319979938611667e-11
-13.794937,0.9999999893631344,1.5063058267361523e-11
-13.770886,0.9999999868617464,1.847723500486857e-11
-13.746835,0.9999995192619864,5.966726856415406e-10
-13.722785,0.9999994319527852,7.007176317269204e-10
-13.698734,0.9999982734991584,2.042563144857667e-09
-13.674684,0.9999998192747788,2.323861003958739e-10
-13.650633,0.9999998945692298,1.3817190917534506e-10
-13.626582,0.9999995581697412,5.500821255420356e-10
-13.602532,0.9999999431975684,7.605511944765712e-11
-13.578481,0.9999999071175406,1.2226670432160787e-10
-13.55443,0.9999999824464276,2.445219606744992e-11
-13.53038,0.9999999867542682,1.8623410141004303e-11
-13.506329,0.9999999823704304,2.455455039404648e-11
-13.482278,0.9999999921200032,1.1268199090488796e-11
-13.458228,0.999999986849676,1.8493652530185262e-11
-13.434177,0.9999999673824588,4.4505225329311885e-11
-13.410127,0.9999998646242468,1.7586466816374522e-10
-13.386076,0.9999958682527876,4.725352787890184e-09
-13.362025,0.9973605981577386,1.406053042263347e-06
-13.337975,0.999996395542984,4.1444678515232035e-09
-13.313924,0.99999969744144,3.819166823784534e-10
-13.289873,0.9999991425278608,1.041672097954466e-09
-13.265823,0.9999991663134604,1.013843090323756e-09
-13.241772,0.9999994385182098,6.929161487190804e-10
-13.217722,0.9999996629970948,4.2373609045379886e-10
-13.193671,0.9999999728014434,3.733879524589751e-11
-13.16962,0.9999999813235392,2.5962985877287777e-11
-13.14557,0.9999999812444,2.60693474196218e-11
-13.121519,0.9999999544776804,6.141501267804033e-11
-13.097468,0.9999998349721028,2.1288813832751355e-10
-13.073418,0.999998426921296,1.867684907984674e-09
-13.049367,0.999997477998166,2.940471860423313e-09
-13.025316,0.999999402506408,7.356660609820604e-10
-13.001266,0.9999904614728734,1.0550958982165885e-08
-12.977215,0.999999706190267,3.712669469131935e-10
-12.953165,0.9999999066089458,1.2291279424664087e-10
-12.929114,0.999999969269616,4.2014599479283386e-11
-12.905063,0.9999999940520594,8.58273620063998e-12
-12.881013,0.999999991070689,1.271711990069181e-11
-12.856962,0.9999999900544596,1.4114921031618886e-11
-12.832911,0.9999999867679502,1.860480453394875e-11
-12.808861,0.9999998315158084,2.1718690260144078e-10
-12.78481,0.999999967638118,4.4168110338398466e-11
-12.760759,0.999999926118935,9.803021079862652e-11
-12.736709,0.999999844751937,2.0070635053468456e-10
-12.712658,0.9999999494640652,6.793618667123434e-11
-12.688608,0.9999999804939376,2.7077166281377577e-11
-12.664557,0.9999999828863312,2.3859438947524248e-11
-12.640506,0.9999999911494344,1.260859232555441e-11
-12.616456,0.9999999929856024,1.0068130158022075e-11
-12.592405,0.9999999722823384,3.8027301477261445e-11
-12.568354,0.999999995423604,6.659112591256664e-12
-12.544304,0.9999999952240104,6.940105455143737e-12
-12.520253,0.9999999970769572,4.3139673761612026e-12
-12.496203,0.9999999971953064,4.144671391897302e-12
