Beat number,state,tsid,type
47,1.4179999828338623,17,pd
48,1.481899976730347,17,pd
49,1.437600016593933,17,pd
50,1.402500033378601,17,pd
51,1.486199975013733,17,pd
52,1.3809000253677368,17,pd
53,1.4737000465393066,17,pd
54,1.4075000286102295,17,pd
55,1.4819999933242798,17,pd
56,1.4047000408172607,17,pd
57,1.4142999649047852,17,pd
58,1.4402999877929688,17,pd
59,1.4075000286102295,17,pd
60,1.4503999948501587,17,pd
61,1.398800015449524,17,pd
62,1.441100001335144,17,pd
63,1.4101999998092651,17,pd
64,1.40339994430542,17,pd
65,1.4572999477386477,17,pd
66,1.340000033378601,17,pd
67,1.4735000133514404,17,pd
68,1.4027999639511108,17,pd
69,1.4112000465393066,17,pd
70,1.4997999668121338,17,pd
71,1.3918999433517456,17,pd
72,1.4865000247955322,17,pd
73,1.3890000581741333,17,pd
74,1.447100043296814,17,pd
75,1.3797999620437622,17,pd
76,1.5154000520706177,17,pd
77,1.2969000339508057,17,pd
78,1.5455000400543213,17,pd
79,1.3000999689102173,17,pd
80,1.5090999603271484,17,pd
81,1.2453999519348145,17,pd
82,1.5317000150680542,17,pd
83,1.247099995613098,17,pd
84,1.5273000001907349,17,pd
85,1.2675000429153442,17,pd
86,1.458199977874756,17,pd
87,1.246899962425232,17,pd
88,1.52020001411438,17,pd
89,1.2374999523162842,17,pd
90,1.5252000093460083,17,pd
91,1.2410999536514282,17,pd
92,1.503100037574768,17,pd
93,1.260800004005432,17,pd
94,1.5008000135421753,17,pd
95,1.3042999505996704,17,pd
96,1.489300012588501,17,pd
97,1.2208000421524048,17,pd
98,1.5800000429153442,17,pd
99,1.2467999458312988,17,pd
100,1.5956000089645386,17,pd
101,1.17739999294281,17,pd
102,1.6129000186920166,17,pd
103,1.1492999792099,17,pd
104,1.6045000553131104,17,pd
105,1.2574000358581543,17,pd
106,1.524999976158142,17,pd
107,1.2659000158309937,17,pd
108,1.531499981880188,17,pd
109,1.3106000423431396,17,pd
110,1.4514000415802002,17,pd
111,1.4101999998092651,17,pd
112,1.3200000524520874,17,pd
113,1.5194000005722046,17,pd
114,1.2653000354766846,17,pd
115,1.6124999523162842,17,pd
116,1.2768000364303589,17,pd
0,1.3986999988555908,18,pd
1,1.2383999824523926,18,pd
2,1.3973000049591064,18,pd
3,1.2158000469207764,18,pd
4,1.4630000591278076,18,pd
5,1.2098000049591064,18,pd
6,1.4206000566482544,18,pd
7,1.1907000541687012,18,pd
8,1.4430999755859375,18,pd
9,1.1821000576019287,18,pd
10,1.3934999704360962,18,pd
11,1.339900016784668,18,pd
12,1.2896000146865845,18,pd
13,1.3011000156402588,18,pd
14,1.3387000560760498,18,pd
15,1.320199966430664,18,pd
16,1.272699952125549,18,pd
17,1.4217000007629397,18,pd
18,1.3265999555587769,18,pd
19,1.3801000118255615,18,pd
20,1.3068000078201294,18,pd
21,1.3770999908447266,18,pd
22,1.2857999801635742,18,pd
23,1.3758000135421753,18,pd
24,1.3716000318527222,18,pd
25,1.3845000267028809,18,pd
26,1.353700041770935,18,pd
27,1.385699987411499,18,pd
28,1.3712999820709229,18,pd
29,1.3968000411987305,18,pd
30,1.2972999811172483,18,pd
31,1.4221999645233154,18,pd
32,1.464900016784668,18,pd
33,1.2861000299453735,18,pd
34,1.378100037574768,18,pd
35,1.38919997215271,18,pd
36,1.327399969100952,18,pd
37,1.403599977493286,18,pd
38,1.3135000467300415,18,pd
39,1.3487000465393066,18,pd
40,1.3494000434875488,18,pd
41,1.3437999486923218,18,pd
42,1.3636000156402588,18,pd
43,1.40339994430542,18,pd
44,1.3098000288009644,18,pd
45,1.4565000534057615,18,pd
46,1.2990000247955322,18,pd
47,1.4737000465393066,18,pd
48,1.32669997215271,18,pd
49,1.4184999465942385,18,pd
50,1.3828999996185305,18,pd
51,1.4018000364303589,18,pd
52,1.3690999746322632,18,pd
53,1.374400019645691,18,pd
54,1.3767000436782837,18,pd
55,1.3824000358581543,18,pd
56,1.3984999656677246,18,pd
57,1.3865000009536743,18,pd
58,1.3380000591278076,18,pd
59,1.3260999917984009,18,pd
60,1.370300054550171,18,pd
61,1.3198000192642212,18,pd
62,1.3246999979019165,18,pd
63,1.3703999519348145,18,pd
64,1.2466000318527222,18,pd
65,1.3141000270843506,18,pd
66,1.4297000169754028,18,pd
67,1.1999000310897827,18,pd
68,1.496399998664856,18,pd
69,1.327399969100952,18,pd
70,1.2975000143051147,18,pd
71,1.5125000476837158,18,pd
72,1.316499948501587,18,pd
73,1.4747999906539917,18,pd
74,1.341599941253662,18,pd
75,1.437000036239624,18,pd
76,1.33270001411438,18,pd
77,1.531999945640564,18,pd
78,1.2355999946594238,18,pd
79,1.516700029373169,18,pd
80,1.4436999559402466,18,pd
81,1.360100030899048,18,pd
82,1.5046000480651855,18,pd
83,1.392300009727478,18,pd
84,1.416800022125244,18,pd
85,1.3853000402450562,18,pd
86,1.335800051689148,18,pd
87,1.5032999515533447,18,pd
88,1.3603999614715576,18,pd
89,1.4234000444412231,18,pd
90,1.3991999626159668,18,pd
91,1.4436999559402466,18,pd
92,1.3310999870300293,18,pd
93,1.3973000049591064,18,pd
94,1.1999000310897827,18,pd
95,1.438099980354309,18,pd
96,1.1791000366210938,18,pd
97,1.3565000295639038,18,pd
98,0.8665099740028381,18,pd
99,0.8802000284194946,18,pd
100,0.96042001247406,18,pd
101,1.7157000303268433,18,pd
102,1.2574000358581543,18,pd
103,1.4093999862670898,18,pd
104,1.2578999996185305,18,pd
105,1.437800049781799,18,pd
106,1.25,18,pd
107,1.472599983215332,18,pd
108,1.2906999588012695,18,pd
109,1.489799976348877,18,pd
110,1.212299942970276,18,pd
111,1.5993000268936155,18,pd
112,1.3417999744415283,18,pd
113,1.4744999408721924,18,pd
114,1.443600058555603,18,pd
115,1.3078999519348145,18,pd
116,1.4977999925613403,18,pd
117,1.3658000230789185,18,pd
118,1.5078999996185305,18,pd
119,1.2562999725341797,18,pd
120,1.7049000263214111,18,pd
121,1.364400029182434,18,pd
122,1.4332000017166138,18,pd
123,1.454800009727478,18,pd
124,1.3252999782562256,18,pd
125,1.3236000537872314,18,pd
126,1.3579000234603882,18,pd
127,1.317399978637695,18,pd
128,1.2997000217437744,18,pd
129,1.4263999462127686,18,pd
130,1.3806999921798706,18,pd
131,1.3324999809265137,18,pd
132,1.413100004196167,18,pd
133,1.243899941444397,18,pd
134,1.5103000402450562,18,pd
135,1.2010999917984009,18,pd
136,1.5318000316619873,18,pd
137,1.2827999591827393,18,pd
138,1.37090003490448,18,pd
139,1.427299976348877,18,pd
140,1.1950000524520874,18,pd
141,1.5312000513076782,18,pd
142,1.1191999912261963,18,pd
143,1.541800022125244,18,pd
144,1.1848000288009644,18,pd
145,1.575700044631958,18,pd
146,1.2032999992370603,18,pd
147,1.5504000186920166,18,pd
148,1.3282999992370603,18,pd
149,1.4973000288009644,18,pd
150,1.2578999996185305,18,pd
151,1.4185999631881714,18,pd
152,1.2316999435424805,18,pd
153,1.5505000352859497,18,pd
154,1.1607999801635742,18,pd
155,1.5183000564575195,18,pd
156,1.3640999794006348,18,pd
157,1.4003000259399414,18,pd
158,1.3099000453948977,18,pd
159,1.4184999465942385,18,pd
160,1.3312000036239624,18,pd
161,1.4228999614715576,18,pd
162,1.2798000574111938,18,pd
163,1.4320000410079956,18,pd
164,1.1592999696731567,18,pd
165,1.539199948310852,18,pd
166,1.1407999992370603,18,pd
167,1.537600040435791,18,pd
168,1.135200023651123,18,pd
169,1.4387999773025513,18,pd
0,1.3667000532150269,19,pd
1,1.4706000089645386,19,pd
2,1.4083000421524048,19,pd
3,1.4048999547958374,19,pd
4,1.272699952125549,19,pd
5,1.437999963760376,19,pd
6,1.368899941444397,19,pd
7,1.398300051689148,19,pd
8,1.4005000591278076,19,pd
9,1.3595000505447388,19,pd
10,1.4076000452041626,19,pd
11,1.4377000331878662,19,pd
12,1.3063000440597534,19,pd
13,1.4789999723434448,19,pd
14,1.345900058746338,19,pd
15,1.4151999950408936,19,pd
16,1.2869999408721924,19,pd
17,1.4311000108718872,19,pd
18,1.3759000301361084,19,pd
19,1.3827999830245972,19,pd
20,1.348399996757507,19,pd
21,1.4199999570846558,19,pd
22,1.4179999828338623,19,pd
23,1.295300006866455,19,pd
24,1.5289000272750854,19,pd
25,1.1687999963760376,19,pd
26,1.6216000318527222,19,pd
27,1.226699948310852,19,pd
28,1.583400011062622,19,pd
29,1.2418999671936035,19,pd
30,1.55649995803833,19,pd
31,1.2997000217437744,19,pd
32,1.4914000034332275,19,pd
33,1.294600009918213,19,pd
34,1.5144000053405762,19,pd
35,1.2211999893188477,19,pd
36,1.587000012397766,19,pd
37,1.2235000133514404,19,pd
38,1.6354000568389893,19,pd
39,1.15339994430542,19,pd
40,1.6433000564575195,19,pd
41,1.1898000240325928,19,pd
42,1.634600043296814,19,pd
43,1.3408000469207764,19,pd
44,1.5010000467300415,19,pd
45,1.4077999591827393,19,pd
46,1.424100041389465,19,pd
47,1.3393000364303589,19,pd
48,1.5808000564575195,19,pd
49,1.1676000356674194,19,pd
50,1.7131999731063845,19,pd
51,1.2958999872207642,19,pd
52,1.607300043106079,19,pd
53,1.3525999784469604,19,pd
54,1.5006999969482422,19,pd
55,1.354699969291687,19,pd
56,1.4988000392913818,19,pd
57,1.2654999494552612,19,pd
58,1.5492000579833984,19,pd
59,1.3722000122070312,19,pd
60,1.4896999597549438,19,pd
61,1.2949999570846558,19,pd
62,1.5705000162124634,19,pd
63,1.2984000444412231,19,pd
64,1.583199977874756,19,pd
65,1.3080999851226809,19,pd
66,1.5210000276565552,19,pd
67,1.3903000354766846,19,pd
68,1.5702999830245972,19,pd
69,1.294800043106079,19,pd
70,1.3238999843597412,19,pd
71,1.4867000579833984,19,pd
72,1.1648999452590942,19,pd
73,1.6359000205993652,19,pd
74,1.2549999952316284,19,pd
75,1.6211999654769895,19,pd
76,1.1753000020980835,19,pd
77,1.7194000482559204,19,pd
78,1.229699969291687,19,pd
79,1.725200057029724,19,pd
80,1.336400032043457,19,pd
81,1.6308000087738037,19,pd
82,1.1894999742507937,19,pd
83,1.708299994468689,19,pd
