Age,tree_felling,Record,Transition_start,Transition_end,Period,tsid
776,31,construction_activity_PI,871,873,PI,1
777,11,construction_activity_PI,871,873,PI,1
778,21,construction_activity_PI,871,873,PI,1
779,8,construction_activity_PI,871,873,PI,1
780,63,construction_activity_PI,871,873,PI,1
781,23,construction_activity_PI,871,873,PI,1
782,11,construction_activity_PI,871,873,PI,1
783,21,construction_activity_PI,871,873,PI,1
784,20,construction_activity_PI,871,873,PI,1
785,19,construction_activity_PI,871,873,PI,1
786,43,construction_activity_PI,871,873,PI,1
787,23,construction_activity_PI,871,873,PI,1
788,25,construction_activity_PI,871,873,PI,1
789,13,construction_activity_PI,871,873,PI,1
790,17,construction_activity_PI,871,873,PI,1
791,13,construction_activity_PI,871,873,PI,1
792,15,construction_activity_PI,871,873,PI,1
793,19,construction_activity_PI,871,873,PI,1
794,15,construction_activity_PI,871,873,PI,1
795,11,construction_activity_PI,871,873,PI,1
796,13,construction_activity_PI,871,873,PI,1
797,8,construction_activity_PI,871,873,PI,1
798,19,construction_activity_PI,871,873,PI,1
799,36,construction_activity_PI,871,873,PI,1
800,22,construction_activity_PI,871,873,PI,1
801,26,construction_activity_PI,871,873,PI,1
802,28,construction_activity_PI,871,873,PI,1
803,37,construction_activity_PI,871,873,PI,1
804,40,construction_activity_PI,871,873,PI,1
805,33,construction_activity_PI,871,873,PI,1
806,29,construction_activity_PI,871,873,PI,1
807,25,construction_activity_PI,871,873,PI,1
808,25,construction_activity_PI,871,873,PI,1
809,9,construction_activity_PI,871,873,PI,1
810,21,construction_activity_PI,871,873,PI,1
811,16,construction_activity_PI,871,873,PI,1
812,14,construction_activity_PI,871,873,PI,1
813,34,construction_activity_PI,871,873,PI,1
814,27,construction_activity_PI,871,873,PI,1
815,19,construction_activity_PI,871,873,PI,1
816,33,construction_activity_PI,871,873,PI,1
817,17,construction_activity_PI,871,873,PI,1
818,9,construction_activity_PI,871,873,PI,1
819,10,construction_activity_PI,871,873,PI,1
820,25,construction_activity_PI,871,873,PI,1
821,24,construction_activity_PI,871,873,PI,1
822,31,construction_activity_PI,871,873,PI,1
823,9,construction_activity_PI,871,873,PI,1
824,13,construction_activity_PI,871,873,PI,1
825,16,construction_activity_PI,871,873,PI,1
826,28,construction_activity_PI,871,873,PI,1
827,39,construction_activity_PI,871,873,PI,1
828,60,construction_activity_PI,871,873,PI,1
829,36,construction_activity_PI,871,873,PI,1
830,18,construction_activity_PI,871,873,PI,1
831,29,construction_activity_PI,871,873,PI,1
832,40,construction_activity_PI,871,873,PI,1
833,37,construction_activity_PI,871,873,PI,1
834,34,construction_activity_PI,871,873,PI,1
835,27,construction_activity_PI,871,873,PI,1
836,26,construction_activity_PI,871,873,PI,1
837,15,construction_activity_PI,871,873,PI,1
838,33,construction_activity_PI,871,873,PI,1
839,30,construction_activity_PI,871,873,PI,1
840,12,construction_activity_PI,871,873,PI,1
841,39,construction_activity_PI,871,873,PI,1
842,63,construction_activity_PI,871,873,PI,1
843,73,construction_activity_PI,871,873,PI,1
844,41,construction_activity_PI,871,873,PI,1
845,53,construction_activity_PI,871,873,PI,1
846,64,construction_activity_PI,871,873,PI,1
847,28,construction_activity_PI,871,873,PI,1
848,35,construction_activity_PI,871,873,PI,1
849,17,construction_activity_PI,871,873,PI,1
850,27,construction_activity_PI,871,873,PI,1
851,16,construction_activity_PI,871,873,PI,1
852,46,construction_activity_PI,871,873,PI,1
853,26,construction_activity_PI,871,873,PI,1
854,43,construction_activity_PI,871,873,PI,1
855,33,construction_activity_PI,871,873,PI,1
856,42,construction_activity_PI,871,873,PI,1
857,43,construction_activity_PI,871,873,PI,1
858,69,construction_activity_PI,871,873,PI,1
859,42,construction_activity_PI,871,873,PI,1
860,35,construction_activity_PI,871,873,PI,1
861,43,construction_activity_PI,871,873,PI,1
862,40,construction_activity_PI,871,873,PI,1
863,35,construction_activity_PI,871,873,PI,1
