Age,Proxy,Climate_proxy,Record,Transition_start,Transition_end,Period,tsid
100609.86012526097,-458.2,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
100509.65553235909,-456.7957373882156,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
100409.45093945721,-454.8,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
100309.24634655533,-457.3376605301446,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
100209.04175365345,-460.2009076881185,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
100108.83716075157,-458.3238364239225,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
100008.63256784968,-456.98671984544916,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
99908.42797494782,-457.2,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
99808.22338204592,-457.89799828073217,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
99708.01878914406,-460.50402105836423,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
99607.81419624217,-459.84111827176184,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
99507.60960334029,-460.2631327342592,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
99407.40501043841,-460.5286738676591,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
99307.20041753653,-460.96199821055774,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
99206.99582463465,-462.460083507307,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
99106.79123173277,-462.9419447793229,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
99006.5866388309,-459.6013131221444,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
98906.38204592901,-461.304300626305,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
98806.17745302714,-463.12190906982136,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
98705.97286012526,-464.68190095105524,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
98605.76826722338,-459.33739101068386,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
98505.5636743215,-457.5,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
98405.35908141962,-458.7862704163086,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
98305.15448851774,-465.2007086359495,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
98204.94989561586,-463.3402805139816,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
98104.74530271399,-464.97727905358397,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
98004.5407098121,-468.64916774812383,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
97904.33611691023,-463.9607834609139,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
97804.13152400835,-461.3157888458097,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
97703.92693110647,-458.2608252486799,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
97603.72233820459,-464.8813696374489,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
97503.51774530271,-466.90531384829507,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
97403.31315240083,-466.7958246346555,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
97303.10855949896,-462.8667764415302,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
97202.90396659708,-466.5419144614343,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
97102.6993736952,-464.9972173763835,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
97002.49478079332,-463.7,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
96902.29018789144,-463.7,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
96802.08559498956,-462.10089472114527,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
96701.88100208768,-460.7047599164926,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
96601.6764091858,-462.4124366239189,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
96501.47181628393,-462.6047181628393,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
96401.26722338205,-460.7331578469639,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
96301.06263048017,-459.3210855949896,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
96200.85803757829,-457.6,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
96100.65344467641,-460.37039665970764,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
96000.44885177453,-461.55083961150956,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
95900.24425887266,-458.93680675319973,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
95800.03966597078,-458.8,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
95699.8350730689,-459.6095357976175,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
95599.63048016702,-460.6,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
95499.42588726514,-460.6,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
95399.22129436326,-459.0591624341759,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
95299.01670146138,-458.06380519116306,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
95198.8121085595,-465.8335573540768,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
95098.60751565763,-463.8267223382048,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
94998.40292275575,-460.2765135699375,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
94898.19832985387,-459.49883335380076,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
94797.99373695199,-460.7522737587364,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
94697.7891440501,-462.96676409185795,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
94597.58455114823,-461.6157351625411,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
94497.37995824634,-457.763552799676,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
94397.17536534448,-460.57513201522744,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
94296.97077244258,-465.65374495953336,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
94196.76617954072,-466.3,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
94096.56158663883,-460.0310770678345,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
93996.35699373695,-456.447255500241,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
93896.15240083507,-456.0192066805845,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
93795.94780793319,-459.48170207540255,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
93695.74321503131,-464.29777411861585,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
93595.53862212943,-469.0101628392482,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
93495.33402922755,-464.10095395499866,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
93395.12943632567,-464.466225933658,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
93294.9248434238,-463.75067188097273,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
93194.72025052192,-466.66290977825435,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
93094.51565762004,-463.48279152997304,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
92994.31106471816,-460.79507903370114,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
92894.10647181628,-462.9545302713987,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
92793.9018789144,-459.0769249662285,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
92693.69728601252,-463.2927627000698,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
92593.49269311065,-467.61493389004863,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
92493.28810020877,-465.47655416376716,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
92393.08350730689,-460.8429971861668,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
92292.87891440501,-461.80285117804954,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
92192.67432150313,-464.3211899791232,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
92092.46972860125,-466.2344806184055,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
91992.26513569937,-464.10552366040366,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
91892.0605427975,-465.1190522492636,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
91791.85594989562,-461.65339099314053,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
91691.65135699374,-460.5434974825003,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
91591.44676409186,-459.2647979860003,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
91491.24217118998,-457.08389679992524,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
91391.0375782881,-465.93007654836447,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
91290.83298538622,-470.3525614260479,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
91190.62839248434,-467.3519475881772,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
91090.42379958247,-466.53119674998595,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
90990.21920668059,-465.65781188286405,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
90890.01461377871,-464.3948710714891,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
90789.81002087683,-463.9282098121088,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
90689.60542797495,-464.3895702853163,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
90589.40083507307,-466.70905295122395,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
90489.1962421712,-469.8916736707969,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
90388.99164926932,-469.11144210695363,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
