Age,Proxy,X_axis_label,Y_axis_label,Record,Transition_start,Transition_end,tsid_new
-8.92885,10.515603547239037,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.93415,18.045079214578248,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.93945,15.033814568450854,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.94475,11.666114294178533,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.95005,12.622664391385513,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.9554,10.698513840824042,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.9608,10.471815177913506,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.9662,8.216098131313137,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.9716,13.039011784909992,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.977,13.806301847988204,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.98236,11.742932534497042,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.98768,11.827810929434277,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.993,13.991723320632705,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.99832,13.50626708839292,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.00364,14.56724342731389,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.00896,11.878404948778371,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.01428,13.366090563429015,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.0196,13.43060866813606,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.02492,12.059490778206037,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.03024,12.918077278183196,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.03552,13.303743266593548,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.04076,11.162423518892345,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.046,10.918321769295735,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.05124,12.337060943942191,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.05648,17.32935865034574,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.06175,12.054730064750762,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.06705,14.24353421080564,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.07235,12.207114769257029,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.07765,12.242794259059751,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.08295,14.626035428564863,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.08814,11.486489778055448,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.09322,11.614244806366,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.0983,16.58585248237905,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.10338,18.561196667965927,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.10846,17.2792340448274,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.11342,13.331089803913292,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.11826,13.744902851571243,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.1231,19.12959590202147,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.12794,16.03854200909453,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.13278,14.179521982604228,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.13769,12.718587371024867,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.14267,17.884284036516473,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
